,monitor,curved,size,contrast,contrast_LD,backlight,sdr_brightness,hdr_brightness,rec_mode,rec_rgb,rec_contrast,rec_gamma,srgb,adobergb,dcip3_volume,rec2020_volume,coating,pixel,subpixel,refreshrate,hdmi_rr10,dp_rr10,gsync,rec_overdrive,trt_max,overshoot_max,smear_max,trt_120,overshoot_120,smear_120,pwm,inputlag_max,inputlag_120,res,aspect,ppi,ps5_vrr,xbox_vrr,hdmi2.1,powerdelivery,kvm,multi_input
10,Samsung Odyssey G7 S28AG70,No,"28""","1,155 : 1","1,176 : 1",Edge,314 cd/m²,315 cd/m²,Custom,49-50-47,75.0,Mode 1,99.2%,83.2%,78.6%,57.2%,Matte,IPS,RGB,144 Hz,144 Hz,144 Hz,Compatible (NVIDIA Certified),Adaptive Sync,8.8 ms,7.6%,12.3 ms,10.2 ms,9.2%,14.2 ms,0 Hz,4.1 ms,4.7 ms,3840 x 2160,16:9,160 PPI,Yes,Yes,40Gbps (FRL 10x4),No USB-C Ports,No,PIP
11,Samsung Smart Monitor M8 S32BM80,No,"32""","4,390 : 1",,Edge,398 cd/m²,372 cd/m²,Custom,"Gain (-14,+12,-6), Offset (+7,0,0)",50.0,2.2,93.9%,85.0%,83.5%,64.0%,Matte,VA,RGB,60 Hz,30 Hz,,No,Standard,18.9 ms,4.5%,33.2 ms,,,,0 Hz,10.5 ms,,3840 x 2160,16:9,140 PPI,No,No,No HDMI 2.1,65W,No,No
12,Samsung Odyssey G7/G70B S32BG70,No,"32""","1,233 : 1","1,218 : 1",Edge,405 cd/m²,405 cd/m²,Game (Custom),"Gain (-3, 2, 1), Offset (-3, 1, 2)",50.0,2.2,96.1%,92.1%,96.8%,73.9%,Matte,IPS,RGB,144 Hz,144 Hz,144 Hz,Compatible (NVIDIA Certified),Standard,7.2 ms,0.0%,9.7 ms,7.4 ms,0.0%,9.5 ms,0 Hz,4.5 ms,5.2 ms,3840 x 2160,16:9,143 PPI,Yes,Yes,48Gbps (FRL 12x4),No USB-C Ports,No,No
13,LG 42 C2 OLED,No,"42""",Inf : 1,,No Backlight,177 cd/m²,575 cd/m²,Game Optimizer,"High (-14, 2, -4), Low (0, 0, 7)",85.0,2.2,96.7%,85.9%,75.5%,58.6%,Glossy,OLED,RWBG,120 Hz,120 Hz,,Compatible (NVIDIA Certified),No Overdrive,1.8 ms,0.9%,8.3 ms,1.8 ms,0.9%,8.3 ms,0 Hz,5.3 ms,5.3 ms,3840 x 2160,16:9,106 PPI,Yes,Yes,48Gbps (FRL 12x4),No USB-C Ports,No,PIP + PBP
14,Dell Alienware AW3423DW,Yes,"34""",Inf : 1,,No Backlight,243 cd/m²,484 cd/m²,Custom Color,100-99-100,75.0,No Gamma Setting,100.0%,94.8%,95.7%,78.7%,Glossy,QD-OLED,Triangular RGB,175 Hz,60 Hz,144 Hz,Yes (Native),No Overdrive,1.4 ms,1.2%,5.7 ms,1.9 ms,1.3%,8.4 ms,0 Hz,7.9 ms,10.9 ms,3440 x 1440,21:9,110 PPI,Yes,Yes,No HDMI 2.1,No USB-C Ports,No,No
15,Gigabyte M27Q,No,"27""","1,184 : 1",,Edge,423 cd/m²,443 cd/m²,Custom 1,99-100-92,47.0,Gamma 3,99.7%,97.3%,81.1%,62.2%,Matte,IPS,BGR,170 Hz,60 Hz,120 Hz,Compatible (Tested),Picture Quality,8.1 ms,0.0%,11.3 ms,9.1 ms,0.0%,12.4 ms,0 Hz,3.2 ms,4.9 ms,2560 x 1440,16:9,109 PPI,No,Yes,No HDMI 2.1,10W,Yes,PIP + PBP
16,Dell S3220DGF,Yes,"32""","2,953 : 1",,Direct,293 cd/m²,444 cd/m²,Custom Color,93-94-98,70.0,No Gamma Setting,98.1%,81.3%,67.8%,50.6%,Matte,VA,RGB,165 Hz,,,Compatible (Tested),Super Fast,14.8 ms,0.1%,21.2 ms,,,,0 Hz,4.0 ms,,2560 x 1440,16:9,92 PPI,,,,,,No
17,AOC CU34G2X,Yes,"34""","2,789 : 1",,Edge,264 cd/m²,260 cd/m²,Standard,50-44-46,50.0,Gamma 1,97.2%,84.3%,76.9%,57.6%,Matte,VA,RGB,144 Hz,60 Hz,144 Hz,Compatible (Tested),Medium,20.3 ms,0.0%,36.3 ms,19.9 ms,0.0%,35.3 ms,0 Hz,5.1 ms,5.6 ms,3440 x 1440,21:9,110 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,PIP + PBP
18,ASUS TUF Gaming VG249Q1A,No,"24""","1,132 : 1",,Edge,293 cd/m²,,Racing Mode,98-100-99,80.0,No Gamma Setting,95.8%,74.3%,,,Matte,IPS,RGB,165 Hz,,,Compatible (Tested),40,6.1 ms,1.9%,9.3 ms,6.7 ms,0.9%,9.8 ms,0 Hz,3.5 ms,4.8 ms,1920 x 1080,16:9,92 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
19,LG 32GN600-B,No,"32""","3,248 : 1",,Edge,298 cd/m²,340 cd/m²,Gamer 1,50-50-50,66.0,Mode 2,99.1%,78.4%,70.7%,50.8%,Matte,VA,RGB,165 Hz,60 Hz,165 Hz,Compatible (Tested),Fast,15.6 ms,2.7%,29.9 ms,14.1 ms,5.8%,28.6 ms,0 Hz,4.9 ms,6.0 ms,2560 x 1440,16:9,93 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
20,Dell Alienware AW2723DF,No,"27""","1,020 : 1","1,354 : 1",Edge,384 cd/m²,497 cd/m²,Custom Color,96-92-91,73.0,No Gamma Setting,99.6%,89.5%,79.4%,63.5%,Semi-Gloss,IPS,RGB,280 Hz,60 Hz,280 Hz,Compatible (Tested),Extreme,7.6 ms,0.0%,12.6 ms,8.4 ms,0.6%,13.2 ms,0 Hz,2.3 ms,4.6 ms,2560 x 1440,16:9,109 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
21,ASUS ROG Swift 360Hz PG259QN,No,"25""","1,296 : 1",,Edge,417 cd/m²,385 cd/m²,Racing Mode,100-94-88,50.0,2.2,98.3%,73.0%,71.7%,51.5%,Matte,IPS,RGB,360 Hz,144 Hz,300 Hz,Yes (Native),Normal,6.4 ms,14.3%,9.1 ms,10.7 ms,8.6%,14.1 ms,0 Hz,2.3 ms,5.1 ms,1920 x 1080,16:9,91 PPI,Yes,Yes,No HDMI 2.1,No USB-C Ports,No,No
22,Dell Alienware AW2523HF,No,"25""","1,112 : 1",,Edge,384 cd/m²,442 cd/m²,Custom Color,100-98-95,75.0,No Gamma Setting,98.9%,77.5%,70.0%,50.7%,Matte,IPS,RGB,360 Hz,165 Hz,300 Hz,Compatible (Tested),Extreme,6.9 ms,0.0%,10.6 ms,6.7 ms,0.4%,9.8 ms,0 Hz,1.8 ms,5.1 ms,1920 x 1080,16:9,91 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
23,BenQ ZOWIE XL2546K,No,"25""",820 : 1,,Edge,271 cd/m²,,Standard,100-98-94,35.0,Gamma 3,98.1%,76.9%,,,Matte,TN,RGB,240 Hz,,,Compatible (Tested),Off,7.6 ms,0.0%,5.7 ms,,,,0 Hz,2.3 ms,,1920 x 1080,16:9,88 PPI,,,,,,No
24,BenQ ZOWIE XL2566K,No,"25""","1,131 : 1",,Edge,303 cd/m²,,Standard,97-96-100,50.0,Gamma 3,96.5%,76.8%,,,Matte,TN,RGB,360 Hz,,,Compatible (Tested),Customize (8),5.2 ms,0.5%,10.6 ms,7.8 ms,2.6%,12.4 ms,0 Hz,2.1 ms,5.2 ms,1920 x 1080,16:9,91 PPI,No,No,No HDMI 2.1,No USB-C Ports,No,No
25,LG 27GL83A-B,No,"27""",894 : 1,,Edge,337 cd/m²,378 cd/m²,Gamer 1,57-50-44,65.0,Mode 2,95.1%,75.1%,78.5%,62.8%,Matte,IPS,RGB,144 Hz,60 Hz,144 Hz,Compatible (NVIDIA Certified),Fast,7.8 ms,2.8%,12.8 ms,8.3 ms,0.1%,10.0 ms,0 Hz,4.3 ms,5.1 ms,2560 x 1440,16:9,109 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
26,Cooler Master Tempest GP27U,No,"27""","1,072 : 1","2,209 : 1",Full-Array,"1,273 cd/m²",981 cd/m²,Standard,50-48-49,70.0,2.2,99.6%,99.6%,89.2%,77.1%,Matte,IPS,RGB,160 Hz,144 Hz,160 Hz,Compatible (Tested),Normal,6.2 ms,1.3%,8.7 ms,7.5 ms,0.0%,9.5 ms,0 Hz,3.9 ms,4.8 ms,3840 x 2160,16:9,163 PPI,Yes,Yes,48Gbps (FRL 12x4),90W,Yes,No
27,Samsung 43 QN90B QLED,No,"43""","5,548 : 1","7,064 : 1",Full-Array,569 cd/m²,761 cd/m²,Custom,"Gain (7,0,-3), Offset (3,0,-1)",50.0,2.2,99.3%,87.0%,82.0%,72.0%,Glossy,VA,BGR,144 Hz,144 Hz,,Compatible (Tested),Game Mode,12.9 ms,2.7%,33.0 ms,11.8 ms,5.6%,24.7 ms,960 Hz,6.0 ms,7.1 ms,3840 x 2160,16:9,103 PPI,Yes,Yes,48Gbps (FRL 12x4),No USB-C Ports,No,No
28,LG 27GP950-B,No,"27""","1,194 : 1","1,171 : 1",Edge,406 cd/m²,696 cd/m²,Gamer 1,50-48-45,70.0,Mode 2,100.0%,88.1%,91.8%,69.3%,Semi-Gloss,IPS,RGB,160 Hz,144 Hz,160 Hz,Compatible (NVIDIA Certified),Fast,7.5 ms,5.6%,11.6 ms,8.0 ms,0.0%,11.0 ms,0 Hz,4.2 ms,4.9 ms,3840 x 2160,16:9,164 PPI,Yes,Yes,48Gbps (FRL 12x4),No USB-C Ports,No,PIP
29,Dell S2721DGF,No,"27""",882 : 1,971 : 1,Edge,368 cd/m²,328 cd/m²,Custom Color,100-96-97,73.0,No Gamma Setting,99.6%,84.5%,89.8%,71.0%,Matte,IPS,RGB,165 Hz,60 Hz,165 Hz,Compatible (NVIDIA Certified),Extreme,6.3 ms,1.9%,10.6 ms,7.4 ms,0.6%,10.8 ms,>1000 Hz,3.7 ms,4.8 ms,2560 x 1440,16:9,109 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
30,Gigabyte M28U,No,"28""","1,228 : 1","1,224 : 1",Edge,312 cd/m²,447 cd/m²,Custom 1,100-97-98,50.0,2.2,99.7%,83.6%,71.2%,63.2%,Matte,IPS,RGB,144 Hz,144 Hz,144 Hz,Compatible (Tested),Picture Quality,7.7 ms,6.9%,11.7 ms,8.7 ms,7.9%,13.5 ms,0 Hz,4.6 ms,4.9 ms,3840 x 2160,16:9,160 PPI,Yes,Yes,24Gbps (FRL 6x4),15W,Yes,PIP + PBP
31,Gigabyte M32U,No,"32""","1,125 : 1","1,043 : 1",Edge,348 cd/m²,361 cd/m²,Custom 1,97-100-99,50.0,2.2,99.8%,82.4%,83.0%,62.6%,Matte,IPS,RGB,144 Hz,144 Hz,144 Hz,Compatible (Tested),Picture Quality,7.1 ms,2.3%,10.4 ms,9.1 ms,4.2%,13.3 ms,0 Hz,4.3 ms,5.0 ms,3840 x 2160,16:9,140 PPI,Yes,Yes,24Gbps (FRL 6x4),15W,Yes,PIP + PBP
32,Samsung Odyssey G5 C27G55T,Yes,"27""","2,997 : 1",,Edge,281 cd/m²,298 cd/m²,Custom,52-49-48,75.0,Mode 1,95.5%,73.2%,55.3%,42.2%,Matte,VA,RGB,144 Hz,60 Hz,120 Hz,Compatible (Tested),FreeSync On,21.9 ms,0.0%,38.6 ms,22.9 ms,0.0%,38.7 ms,144 Hz,4.5 ms,5.2 ms,2560 x 1440,16:9,109 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
33,Samsung Odyssey G3 F27G35T,No,"27""","4,173 : 1",,Edge,278 cd/m²,,Standard,48-50-46,50.0,Mode 1,95.5%,74.8%,,,Matte,VA,RGB,144 Hz,,,Compatible (Tested),On,30.9 ms,2.1%,65.8 ms,29.6 ms,2.8%,59.8 ms,0 Hz,5.0 ms,6.3 ms,1920 x 1080,16:9,82 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
34,Samsung Odyssey G7 C32G75T,Yes,"32""","3,912 : 1","3,913 : 1",Edge,333 cd/m²,407 cd/m²,Custom,45-48-50,70.0,Mode 1,98.2%,83.2%,84.8%,66.9%,Matte,VA,RGB,240 Hz,60 Hz,240 Hz,Compatible (NVIDIA Certified),Adaptive Sync,7.3 ms,9.0%,14.9 ms,7.2 ms,9.2%,14.9 ms,0 Hz,3.1 ms,5.3 ms,2560 x 1440,16:9,92 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,PIP + PBP
35,Samsung Odyssey G5 C34G55T,Yes,"34""","4,557 : 1",,Edge,296 cd/m²,295 cd/m²,Custom,50-46-45,75.0,Mode 1,98.7%,77.5%,70.1%,50.6%,Matte,VA,RGB,165 Hz,60 Hz,100 Hz,Compatible (Tested),FreeSync On,16.4 ms,0.2%,37.6 ms,14.8 ms,0.6%,36.5 ms,0 Hz,4.0 ms,5.6 ms,3440 x 1440,21:9,108 PPI,No,No,No HDMI 2.1,No USB-C Ports,No,PBP
36,Dell S2716DG,No,"27""",634 : 1,,Direct,287 cd/m²,,Custom Color,87-96-100,75.0,No Gamma Setting,93.4%,72.4%,,,Matte,TN,RGB,144 Hz,,,Yes (Native),Normal,7.7 ms,2.6%,4.1 ms,,,,0 Hz,4.4 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
37,Dell Alienware AW3418DW,Yes,"34""",981 : 1,,Edge,284 cd/m²,,Custom Color,96-95-100,75.0,No Gamma Setting,99.0%,77.1%,,,Matte,IPS,RGB,120 Hz,,,Yes (Native),Normal,15.6 ms,13.2%,17.1 ms,,,,0 Hz,5.3 ms,,3440 x 1440,21:9,109 PPI,,,,,,No
38,Samsung U32J590,No,"32""","2,799 : 1",,Edge,206 cd/m²,,User,37-35-44,75.0,Mode 2,99.1%,87.6%,,,Matte,VA,RGB,60 Hz,,,Compatible (Tested),Standard,16.1 ms,1.9%,19.4 ms,,,,240 Hz,9.6 ms,,3840 x 2160,16:9,139 PPI,,,,,,PIP + PBP
39,Gigabyte AORUS FO48U OLED,No,"48""",Inf : 1,,No Backlight,106 cd/m²,399 cd/m²,Custom 1,100-93-80,50.0,2.2,100.0%,88.8%,83.5%,62.2%,Glossy,OLED,WBGR,120 Hz,120 Hz,120 Hz,Compatible (Tested),No Overdrive,1.4 ms,0.4%,8.2 ms,1.4 ms,0.4%,8.2 ms,0 Hz,4.8 ms,4.8 ms,3840 x 2160,16:9,92 PPI,Yes,Yes,24Gbps (FRL 6x4),15W,Yes,PIP + PBP
40,LG 48GQ900-B,No,"48""",Inf : 1,,No Backlight,129 cd/m²,399 cd/m²,Gamer 1,50-50-50,60.0,Mode 2,100.0%,88.2%,79.0%,62.2%,Matte,OLED,RWBG,138 Hz,138 Hz,138 Hz,Compatible (NVIDIA Certified),No Overdrive,3.0 ms,1.9%,7.3 ms,2.4 ms,1.3%,8.4 ms,0 Hz,4.3 ms,4.9 ms,3840 x 2160,16:9,93 PPI,Yes,Yes,48Gbps (FRL 12x4),No USB-C Ports,No,No
41,ASUS ROG Swift OLED PG42UQ,No,"42""",Inf : 1,,No Backlight,196 cd/m²,792 cd/m²,User,100-90-76,80.0,2.2,100.0%,86.9%,81.9%,59.2%,Matte,OLED,RWBG,138 Hz,138 Hz,138 Hz,Compatible (NVIDIA Certified),No Overdrive,2.8 ms,1.5%,7.3 ms,2.8 ms,1.4%,8.4 ms,0 Hz,4.2 ms,4.9 ms,3840 x 2160,16:9,106 PPI,Yes,Yes,48Gbps (FRL 12x4),No USB-C Ports,No,PIP + PBP
42,LG 35WN65C-B,Yes,"35""","3,726 : 1",,Edge,266 cd/m²,262 cd/m²,Custom,50-53-49,67.0,Mode 2,99.6%,79.5%,78.2%,57.7%,Matte,VA,RGB,100 Hz,60 Hz,100 Hz,Compatible (Tested),Fast,19.6 ms,3.6%,45.1 ms,,,,0 Hz,7.0 ms,,3440 x 1440,21:9,106 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
43,LG 27GN650-B,No,"27""","1,002 : 1",,Edge,284 cd/m²,347 cd/m²,Gamer 1,49-49-52,70.0,Mode 2,100.0%,82.2%,78.7%,56.4%,Matte,IPS,RGB,144 Hz,,,Compatible (NVIDIA Certified),Normal,7.3 ms,1.9%,7.6 ms,,,,0 Hz,4.1 ms,,1920 x 1080,16:9,82 PPI,,,,,,No
44,ASUS TUF Gaming VG27AQL1A,No,"27""","1,016 : 1","1,091 : 1",Edge,330 cd/m²,459 cd/m²,Racing Mode,96-100-98,79.0,No Gamma Setting,98.8%,84.9%,89.0%,70.5%,Matte,IPS,RGB,170 Hz,60 Hz,120 Hz,Compatible (NVIDIA Certified),80,10.1 ms,5.4%,15.0 ms,10.9 ms,3.0%,17.6 ms,0 Hz,3.3 ms,4.8 ms,2560 x 1440,16:9,109 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
45,AOC CQ27G2,Yes,"27""","3,858 : 1",,Edge,197 cd/m²,,Standard (User),51-50-45,50.0,Gamma 1,97.5%,81.4%,,,Matte,VA,RGB,144 Hz,,,Compatible (Tested),Strong,15.1 ms,1.0%,36.9 ms,15.3 ms,1.6%,33.7 ms,0 Hz,3.7 ms,5.0 ms,2560 x 1440,16:9,109 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
46,Samsung Odyssey G5 S27AG50,No,"27""","1,149 : 1",,Edge,452 cd/m²,463 cd/m²,Custom,52-50-38,70.0,Mode 1,99.8%,79.0%,64.3%,51.2%,Matte,IPS,RGB,165 Hz,60 Hz,120 Hz,Compatible (NVIDIA Certified),Adaptive Sync,8.1 ms,0.0%,12.1 ms,8.4 ms,0.0%,10.5 ms,0 Hz,3.5 ms,4.7 ms,2560 x 1440,16:9,110 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
47,Samsung C27RG5,Yes,"27""","3,305 : 1",,Edge,299 cd/m²,,Custom,47-53-52,70.0,Mode 1,95.2%,76.4%,,,Matte,VA,RGB,240 Hz,,,Compatible (NVIDIA Certified),Adaptive Sync,34.5 ms,0.1%,44.3 ms,,,,>1000 Hz,3.3 ms,,1920 x 1080,16:9,82 PPI,,,,,,No
48,Gigabyte M27Q X,No,"27""","1,088 : 1",,Edge,459 cd/m²,482 cd/m²,Custom 1,94-98-100,50.0,2.2,99.9%,97.7%,62.9%,60.2%,Matte,IPS,RGB,240 Hz,60 Hz,200 Hz,Compatible (Tested),Picture Quality,6.8 ms,0.7%,10.4 ms,9.7 ms,8.0%,15.1 ms,0 Hz,2.6 ms,4.5 ms,2560 x 1440,16:9,109 PPI,No,Yes,No HDMI 2.1,18W,Yes,PIP + PBP
49,Dell Alienware AW2721D,No,"27""","1,088 : 1","1,026 : 1",Edge,474 cd/m²,562 cd/m²,Custom Color,100-88-80,75.0,No Gamma Setting,99.8%,85.6%,88.9%,70.5%,Semi-Gloss,IPS,RGB,240 Hz,60 Hz,144 Hz,Yes (Native),Fast,7.1 ms,8.9%,10.8 ms,12.0 ms,12.9%,16.5 ms,0 Hz,3.0 ms,4.8 ms,2560 x 1440,16:9,109 PPI,Yes,Yes,No HDMI 2.1,No USB-C Ports,No,No
50,Gigabyte AORUS FI32U,No,"32""","1,095 : 1","1,088 : 1",Edge,337 cd/m²,419 cd/m²,Custom 1,100-98-89,50.0,2.2,98.4%,81.3%,83.6%,63.2%,Matte,IPS,RGB,144 Hz,144 Hz,144 Hz,Compatible (Tested),Picture Quality,9.9 ms,10.3%,13.8 ms,9.8 ms,0.0%,14.1 ms,0 Hz,4.3 ms,4.9 ms,3840 x 2160,16:9,140 PPI,Yes,Yes,24Gbps (FRL 6x4),15W,Yes,PIP + PBP
51,Gigabyte G27Q,No,"27""","1,096 : 1",,Edge,437 cd/m²,480 cd/m²,Custom 1,100-97-93,49.0,Gamma 2,99.5%,85.5%,84.3%,64.6%,Matte,IPS,RGB,144 Hz,60 Hz,120 Hz,Compatible (Tested),Speed,11.3 ms,3.8%,18.0 ms,12.8 ms,7.7%,18.3 ms,0 Hz,3.7 ms,4.8 ms,2560 x 1440,16:9,109 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
52,Gigabyte G27QC,Yes,"27""","3,855 : 1",,Edge,286 cd/m²,388 cd/m²,Custom 1,94-98-100,50.0,Gamma 3,97.2%,81.2%,83.9%,61.4%,Matte,VA,RGB,165 Hz,,,Compatible (Tested),Speed,12.2 ms,7.9%,18.8 ms,,,,0 Hz,3.9 ms,,2560 x 1440,16:9,109 PPI,,,,,,PIP + PBP
53,Gigabyte G32QC,Yes,"32""","2,912 : 1",,Edge,383 cd/m²,435 cd/m²,Custom 1,93-91-100,50.0,Gamma 4,98.2%,81.6%,81.3%,60.8%,Matte,VA,RGB,165 Hz,,,Compatible (Tested),Balance,12.7 ms,0.7%,21.3 ms,,,,0 Hz,3.3 ms,,2560 x 1440,16:9,93 PPI,,,,,,PIP + PBP
54,LG 27GN950-B,No,"27""","1,048 : 1","1,051 : 1",Edge,424 cd/m²,454 cd/m²,Gamer 1,50-48-45,70.0,Mode 2,100.0%,88.3%,78.9%,63.2%,Semi-Gloss,IPS,RGB,160 Hz,30 Hz,160 Hz,Compatible (NVIDIA Certified),Fast,6.9 ms,1.3%,11.2 ms,8.5 ms,4.2%,13.6 ms,0 Hz,4.2 ms,5.0 ms,3840 x 2160,16:9,164 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,PIP
55,Dell Alienware AW2521H,No,"25""","1,336 : 1",,Edge,437 cd/m²,457 cd/m²,Custom Color,100-98-90,75.0,No Gamma Setting,98.8%,73.0%,77.5%,55.9%,Matte,IPS,RGB,360 Hz,144 Hz,300 Hz,Yes (Native),Fast,6.9 ms,0.0%,10.2 ms,7.6 ms,1.4%,11.5 ms,0 Hz,1.7 ms,4.8 ms,1920 x 1080,16:9,91 PPI,Yes,Yes,No HDMI 2.1,No USB-C Ports,No,No
56,Dell Alienware AW2720HF,No,"27""",877 : 1,,Edge,335 cd/m²,,Custom Color,95-99-100,73.0,No Gamma Setting,97.2%,76.5%,,,Matte,IPS,RGB,240 Hz,,,Compatible (NVIDIA Certified),Fast,5.8 ms,0.8%,7.1 ms,,,,0 Hz,2.8 ms,,1920 x 1080,16:9,82 PPI,,,,,,No
